sample_id,group,mean_len,median_len,std_len,pct_short,pct_mid,p10,p25,p75,p90,n_fragments
87962,healthy,165.0,166.0,20.24,19.76,79.33,140.0,153.0,176.0,188.0,500000
87963,healthy,164.72,166.0,20.16,20.1,79.05,140.0,153.0,176.0,188.0,500000
87964,healthy,168.7,169.0,20.96,15.97,82.6,143.0,157.0,180.0,194.0,500000
87965,healthy,166.96,167.0,20.8,18.15,80.65,141.0,155.0,178.0,192.0,500000
87966,healthy,168.44,168.0,18.85,14.02,85.06,145.0,158.0,179.0,191.0,500000
87967,healthy,166.6,167.0,19.91,17.61,81.41,142.0,155.0,178.0,190.0,500000
87968,healthy,164.23,165.0,17.91,18.81,80.7,142.0,154.0,174.0,185.0,500000
87969,healthy,166.31,167.0,19.56,17.39,81.67,142.0,155.0,177.0,190.0,500000
87970,healthy,166.61,167.0,19.79,17.38,81.64,142.0,155.0,177.0,190.0,500000
87971,healthy,164.99,166.0,19.62,19.2,80.07,141.0,154.0,176.0,188.0,500000
87972,healthy,164.37,166.0,19.88,20.73,78.53,140.0,153.0,176.0,187.0,500000
87973,healthy,166.04,167.0,19.61,17.75,81.41,141.0,155.0,177.0,189.0,500000
87974,healthy,169.28,169.0,20.56,14.87,83.8,144.0,158.0,181.0,194.0,500000
87975,healthy,169.17,169.0,19.22,13.67,85.31,145.0,159.0,180.0,192.0,500000
87976,healthy,168.49,169.0,21.02,16.29,82.26,142.0,157.0,180.0,193.0,500000
87978,healthy,171.67,171.0,22.61,14.38,83.21,144.0,159.0,184.0,199.0,500000
87979,healthy,169.04,168.0,19.67,14.35,84.31,145.0,158.0,180.0,193.0,500000
87980,healthy,167.91,168.0,20.46,16.41,82.2,143.0,156.0,179.0,192.0,500000
87981,healthy,165.86,167.0,20.09,18.68,80.39,141.0,154.0,177.0,189.0,500000
87982,healthy,167.72,168.0,20.03,16.36,82.53,143.0,156.0,179.0,192.0,500000
87983,healthy,165.97,166.0,19.95,18.35,80.67,141.0,155.0,177.0,189.0,500000
