sample_id,group,mean_len,median_len,std_len,pct_short,pct_mid,p10,p25,p75,p90,n_fragments,genome_bin_short_frac_std,genome_bin_short_frac_mean,motif_A_frac,motif_C_frac,motif_G_frac,motif_T_frac
88242,lung_cancer,167.54,168.0,18.87,15.25,83.9,144.0,157.0,178.0,190.0,5000000,0.0191,0.1466,,,,
88243,lung_cancer,166.31,167.0,19.85,17.99,81.07,142.0,155.0,177.0,190.0,5000000,0.0191,0.1746,,,,
88244,lung_cancer,165.94,167.0,19.08,17.58,81.65,142.0,155.0,176.0,188.0,5000000,0.0183,0.1712,,,,
88245,lung_cancer,167.46,167.0,19.64,16.2,82.72,143.0,156.0,178.0,191.0,5000000,0.018,0.1576,,,,
88246,lung_cancer,165.37,166.0,19.21,18.46,80.76,142.0,154.0,176.0,188.0,5000000,0.0195,0.1794,,,,
88247,lung_cancer,165.37,166.0,20.77,20.66,77.92,140.0,153.0,176.0,189.0,5000000,0.0113,0.2059,,,,
88248,lung_cancer,164.11,166.0,21.04,21.94,77.16,138.0,152.0,176.0,188.0,5000000,0.0221,0.2134,,,,
88249,lung_cancer,166.42,167.0,21.43,19.05,79.64,140.0,154.0,178.0,191.0,5000000,0.0213,0.1848,,,,
88250,lung_cancer,162.44,164.0,19.65,23.08,76.34,138.0,151.0,174.0,184.0,5000000,0.0223,0.2246,,,,
88251,lung_cancer,165.07,166.0,21.2,20.65,78.33,139.0,153.0,177.0,189.0,5000000,0.0211,0.2006,,,,
88252,lung_cancer,162.36,164.0,19.0,22.82,76.62,139.0,151.0,173.0,184.0,5000000,0.0187,0.2233,,,,
88253,lung_cancer,163.61,165.0,19.56,21.26,77.96,140.0,152.0,174.0,186.0,5000000,0.0196,0.207,,,,
88254,lung_cancer,162.32,164.0,18.62,22.23,77.27,139.0,151.0,173.0,183.0,5000000,0.018,0.2177,,,,
88255,lung_cancer,162.55,164.0,18.54,21.61,77.93,139.0,152.0,173.0,183.0,5000000,0.0202,0.2102,,,,
88256,lung_cancer,166.44,167.0,20.0,17.78,81.34,141.0,155.0,178.0,190.0,5000000,0.0179,0.1717,,,,
88257,lung_cancer,163.65,165.0,19.42,21.15,78.22,139.0,152.0,175.0,186.0,5000000,0.0183,0.2054,,,,
88258,lung_cancer,163.62,165.0,22.63,24.5,73.88,136.0,150.0,176.0,189.0,5000000,0.0175,0.239,,,,
88259,lung_cancer,165.61,166.0,18.66,17.53,81.74,142.0,155.0,176.0,187.0,5000000,0.0202,0.1694,,,,
88260,lung_cancer,164.86,166.0,19.38,19.42,79.85,141.0,153.0,176.0,187.0,5000000,0.0195,0.1886,,,,
88261,lung_cancer,164.82,166.0,18.76,18.86,80.51,141.0,154.0,175.0,187.0,5000000,0.019,0.1831,,,,
